,,,,,,,,,,,Electric Usage:,,,,,,,,,,,,,Non-Coincident Peak Demand:,,,,,,,,,,,,Coincident Peak Demand:,,,,,,,,,,,,,Fuel Usage:,,,,,,,,,,,,,Source Energy:,,TDV Energy:,,Annual Utility Costs:,,,,Hours Outside Throttling Range:,,,,,
,,,,,,,,,,SS-D,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,PS-E,BEPS,BEPS,TDV1,TDV1,ES-E,ES-E,ES-E,ES-E,BEPS,BEPS,SS-E,,BEPS,BEPS
,,,,,,,,,,Peak Cooling,Ambient,Task,Misc,Space,Space,Heat,Pumps,Ventilation,Refrig,Heat Pump,Domestic,Exterior,,Ambient,Task,Misc,Space,Space,Heat,Pumps,Ventilation,Refrig,Heat Pump,Domestic,Exterior,Ambient,Task,Misc,Space,Space,Heat,Pumps,Ventilation,Refrig,Heat Pump,Domestic,Exterior,Bldg,Ambient,Task,Misc,Space,Space,Heat,Pumps,Ventilation,Refrig,Heat Pump,Domestic,Exterior,,Bldg,Bldg,Bldg,Bldg,Total,Total,Electric,Electric,Zone Outsd,Plant Ld,Hours,Zone Outsd,Cool Loads,Heat Loads
Run,Internal,Case,Short,Carry,Incremental,Incremental,,,,Coil Load,Lights,Lights,Equip,Heating,Cooling,Reject,& Aux,Fans,Display,Supplement,Hot Water,Usage,Total,Lights,Lights,Equip,Heating,Cooling,Reject,& Aux,Fans,Display,Supplement,Hot Water,Usage,Lights,Lights,Equip,Heating,Cooling,Reject,& Aux,Fans,Display,Supplement,Hot Water,Usage,Total,Lights,Lights,Equip,Heating,Cooling,Reject,& Aux,Fans,Display,Supplement,Hot Water,Usage,Total,Energy,EUI,Energy,EUI,Electric,Fuel,kWh,kW,Thrtlng Rng,Not Met,Fans On,Thrtlng Rng,Not Met,Not Met
Type,Loads,#s,Name,Fwd,First Cost ($),Annual Maint. ($),Date & Time of Run,File Name,Case Description,kBtu,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,Therms,Therms,Therms,Therms,Therms,Therms,Therms,Therms,Therms,Therms,Therms,Therms,Therms,MBtu,kBtu/sf/yr,TDV-MBtu,TDV-kBtu/sf/yr,$,$,$,$,% hrs,% hrs,# hrs,# hrs,# hrs,# hrs
n/a,n/a,2,2,0,$0,$0,01-17-14@18:46:10,"openfloorstory - 2","0+BASELINE",263.979,3173,1033,66,0,18641,0,0,4135,0,0,0,0,27047,1.78,0.49,0.02,0.00,12.23,0.00,0.05,1.02,0.00,0.00,0.00,0.00,0.93,0.49,0.02,0.00,12.23,0.00,0.00,1.02,0.00,0.00,0.00,0.00,14.69,0,0,0,0,0,0,0,0,0,0,0,0,0,276.9,57.40,0.0,0.00,0,0,0,0,22.11,0.00,4074,900.8,,

n/a,n/a,2,2,0,$0,$0,01-17-14@20:03:44,"openfloorstory - 2","0+BASELINE",272.869,2942,1033,66,0,19399,0,0,4511,0,0,0,0,27950,1.39,0.49,0.02,0.00,12.99,0.00,0.05,1.11,0.00,0.00,0.00,0.00,0.93,0.49,0.02,0.00,12.99,0.00,0.00,1.11,0.00,0.00,0.00,0.00,15.54,0,0,0,0,0,0,0,0,0,0,0,0,0,286.2,59.31,0.0,0.00,0,0,0,0,29.69,0.00,4074,1209.7,,

n/a,n/a,2,2,0,$0,$0,01-17-14@20:36:35,"openfloorstory - 2","0+BASELINE",265.305,2942,1033,66,0,18728,0,0,4493,0,0,0,0,27261,1.39,0.49,0.02,0.00,11.81,0.00,0.05,1.10,0.00,0.00,0.00,0.00,0.93,0.49,0.02,0.00,11.81,0.00,0.00,1.10,0.00,0.00,0.00,0.00,14.35,0,0,0,0,0,0,0,0,0,0,0,0,0,279.1,57.85,0.0,0.00,0,0,0,0,28.32,0.00,4074,1153.7,,

n/a,n/a,2,2,0,$0,$0,01-17-14@22:57:40,"openfloorstory - 2","0+BASELINE",265.305,2942,1033,66,0,18728,0,0,4493,0,0,0,0,27261,1.39,0.49,0.02,0.00,11.81,0.00,0.05,1.10,0.00,0.00,0.00,0.00,0.93,0.49,0.02,0.00,11.81,0.00,0.00,1.10,0.00,0.00,0.00,0.00,14.35,0,0,0,0,0,0,0,0,0,0,0,0,0,279.1,57.85,0.0,0.00,0,0,0,0,28.32,0.00,4074,1153.7,,

n/a,n/a,2,2,0,$0,$0,01-17-14@23:13:35,"openfloorstory - 2","0+BASELINE",1109.857,2942,1033,66,0,71893,0,0,10523,0,0,0,0,86457,1.39,0.49,0.02,0.00,49.95,0.00,0.05,2.58,0.00,0.00,0.00,0.00,0.93,0.49,0.02,0.00,49.95,0.00,0.00,2.58,0.00,0.00,0.00,0.00,53.97,0,0,0,0,0,0,0,0,0,0,0,0,0,885.2,183.48,0.0,0.00,0,0,0,0,8.98,0.00,4074,365.9,,

n/a,n/a,2,2,0,$0,$0,01-17-14@23:15:30,"openfloorstory - 2","0+BASELINE",265.305,2942,1033,66,0,18728,0,0,4493,0,0,0,0,27261,1.39,0.49,0.02,0.00,11.81,0.00,0.05,1.10,0.00,0.00,0.00,0.00,0.93,0.49,0.02,0.00,11.81,0.00,0.00,1.10,0.00,0.00,0.00,0.00,14.35,0,0,0,0,0,0,0,0,0,0,0,0,0,279.1,57.85,0.0,0.00,0,0,0,0,28.32,0.00,4074,1153.7,,
